# /lscratch1/kbferre/app-traces/mutrino/sparc/128/rank-000.txt
 delta	 tstmp
5007	 1511284010001713
420	 1511284010002133
31	 1511284010002164
34	 1511284010002198
36	 1511284010002234
29	 1511284010002263
31	 1511284010002294
29	 1511284010002323
636413	 1511284010638736
992037	 1511284011630773
13372	 1511284011644145
4972	 1511284011649117
431	 1511284011649548
56	 1511284011649604
36	 1511284011649640
28	 1511284011649668
39	 1511284011649707
36	 1511284011649743
33	 1511284011649776
634860	 1511284012284636
1024475	 1511284013309111
20383	 1511284013329494
5175	 1511284013334669
246	 1511284013334915
38	 1511284013334953
47	 1511284013335000
52	 1511284013335052
46	 1511284013335098
38	 1511284013335136
36	 1511284013335172
635086	 1511284013970258
1023514	 1511284014993772
22755	 1511284015016527
5012	 1511284015021539
365	 1511284015021904
39	 1511284015021943
32	 1511284015021975
32	 1511284015022007
33	 1511284015022040
30	 1511284015022070
60	 1511284015022130
636432	 1511284015658562
1021771	 1511284016680333
28077	 1511284016708410
4951	 1511284016713361
445	 1511284016713806
40	 1511284016713846
31	 1511284016713877
34	 1511284016713911
27	 1511284016713938
38	 1511284016713976
39	 1511284016714015
636539	 1511284017350554
1031563	 1511284018382117
32180	 1511284018414297
5075	 1511284018419372
493	 1511284018419865
34	 1511284018419899
35	 1511284018419934
30	 1511284018419964
45	 1511284018420009
34	 1511284018420043
33	 1511284018420076
635734	 1511284019055810
1047096	 1511284020102906
21328	 1511284020124234
5011	 1511284020129245
455	 1511284020129700
43	 1511284020129743
39	 1511284020129782
34	 1511284020129816
33	 1511284020129849
34	 1511284020129883
31	 1511284020129914
636334	 1511284020766248
1017717	 1511284021783965
30084	 1511284021814049
5021	 1511284021819070
325	 1511284021819395
36	 1511284021819431
43	 1511284021819474
32	 1511284021819506
36	 1511284021819542
33	 1511284021819575
29	 1511284021819604
636551	 1511284022456155
1024577	 1511284023480732
41406	 1511284023522138
4954	 1511284023527092
504	 1511284023527596
35	 1511284023527631
49	 1511284023527680
39	 1511284023527719
35	 1511284023527754
31	 1511284023527785
35	 1511284023527820
635927	 1511284024163747
1040151	 1511284025203898
30713	 1511284025234611
4926	 1511284025239537
449	 1511284025239986
41	 1511284025240027
38	 1511284025240065
33	 1511284025240098
36	 1511284025240134
40	 1511284025240174
33	 1511284025240207
635701	 1511284025875908
1026431	 1511284026902339
26409	 1511284026928748
5087	 1511284026933835
333	 1511284026934168
53	 1511284026934221
41	 1511284026934262
28	 1511284026934290
46	 1511284026934336
32	 1511284026934368
36	 1511284026934404
636862	 1511284027571266
1021926	 1511284028593192
25906	 1511284028619098
4906	 1511284028624004
515	 1511284028624519
46	 1511284028624565
38	 1511284028624603
40	 1511284028624643
36	 1511284028624679
59	 1511284028624738
33	 1511284028624771
635529	 1511284029260300
1027774	 1511284030288074
21051	 1511284030309125
5268	 1511284030314393
128	 1511284030314521
55	 1511284030314576
39	 1511284030314615
38	 1511284030314653
32	 1511284030314685
42	 1511284030314727
38	 1511284030314765
636711	 1511284030951476
1035368	 1511284031986844
15517	 1511284032002361
4931	 1511284032007292
490	 1511284032007782
43	 1511284032007825
36	 1511284032007861
40	 1511284032007901
54	 1511284032007955
84	 1511284032008039
43	 1511284032008082
636430	 1511284032644512
1044196	 1511284033688708
28852	 1511284033717560
5101	 1511284033722661
442	 1511284033723103
44	 1511284033723147
35	 1511284033723182
103	 1511284033723285
86	 1511284033723371
68	 1511284033723439
65	 1511284033723504
636468	 1511284034359972
1053903	 1511284035413875
22359	 1511284035436234
5170	 1511284035441404
394	 1511284035441798
117	 1511284035441915
101	 1511284035442016
90	 1511284035442106
91	 1511284035442197
71	 1511284035442268
49	 1511284035442317
635417	 1511284036077734
1036153	 1511284037113887
17427	 1511284037131314
5049	 1511284037136363
416	 1511284037136779
92	 1511284037136871
120	 1511284037136991
