# /lscratch1/kbferre/app-traces/mutrino/lulesh/125/rank-000.txt
 delta	 tstmp
17205	 1503728500068954
17149	 1503728500086103
17332	 1503728500103435
17153	 1503728500120588
17208	 1503728500137796
17373	 1503728500155169
17291	 1503728500172460
17154	 1503728500189614
17297	 1503728500206911
17247	 1503728500224158
17204	 1503728500241362
17290	 1503728500258652
17326	 1503728500275978
17143	 1503728500293121
17309	 1503728500310430
17313	 1503728500327743
17125	 1503728500344868
17326	 1503728500362194
17310	 1503728500379504
17268	 1503728500396772
17238	 1503728500414010
17352	 1503728500431362
17098	 1503728500448460
17444	 1503728500465904
17216	 1503728500483120
17317	 1503728500500437
17150	 1503728500517587
17324	 1503728500534911
17254	 1503728500552165
17323	 1503728500569488
17229	 1503728500586717
17261	 1503728500603978
17207	 1503728500621185
17208	 1503728500638393
17338	 1503728500655731
17206	 1503728500672937
17293	 1503728500690230
17230	 1503728500707460
17258	 1503728500724718
17186	 1503728500741904
17366	 1503728500759270
17163	 1503728500776433
17173	 1503728500793606
17267	 1503728500810873
17320	 1503728500828193
17144	 1503728500845337
17312	 1503728500862649
17236	 1503728500879885
17181	 1503728500897066
17365	 1503728500914431
17350	 1503728500931781
17232	 1503728500949013
17274	 1503728500966287
17152	 1503728500983439
17298	 1503728501000737
17233	 1503728501017970
17244	 1503728501035214
17215	 1503728501052429
17333	 1503728501069762
17119	 1503728501086881
17377	 1503728501104258
17206	 1503728501121464
17338	 1503728501138802
17274	 1503728501156076
17146	 1503728501173222
17432	 1503728501190654
17186	 1503728501207840
17336	 1503728501225176
17338	 1503728501242514
17247	 1503728501259761
17290	 1503728501277051
17273	 1503728501294324
20823	 1503728501315147
28286	 1503728501343433
15366	 1503728501358799
17337	 1503728501376136
17368	 1503728501393504
17353	 1503728501410857
17340	 1503728501428197
17320	 1503728501445517
17164	 1503728501462681
17433	 1503728501480114
17138	 1503728501497252
17236	 1503728501514488
17427	 1503728501531915
17173	 1503728501549088
17332	 1503728501566420
17312	 1503728501583732
17262	 1503728501600994
17197	 1503728501618191
17459	 1503728501635650
17130	 1503728501652780
17338	 1503728501670118
17176	 1503728501687294
17299	 1503728501704593
17207	 1503728501721800
17337	 1503728501739137
17303	 1503728501756440
17135	 1503728501773575
17396	 1503728501790971
17186	 1503728501808157
17216	 1503728501825373
29875	 1503728501855248
17332	 1503728501872580
17156	 1503728501889736
20315	 1503728501910051
25318	 1503728501935369
15080	 1503728501950449
17270	 1503728501967719
21129	 1503728501988848
26859	 1503728502015707
17177	 1503728502032884
17248	 1503728502050132
17232	 1503728502067364
17324	 1503728502084688
17179	 1503728502101867
17384	 1503728502119251
17249	 1503728502136500
17088	 1503728502153588
17441	 1503728502171029
17304	 1503728502188333
17116	 1503728502205449
17401	 1503728502222850
18142	 1503728502240992
17365	 1503728502258357
17279	 1503728502275636
21944	 1503728502297580
17440	 1503728502315020
17052	 1503728502332072
17233	 1503728502349305
17311	 1503728502366616
17313	 1503728502383929
17303	 1503728502401232
17356	 1503728502418588
17231	 1503728502435819
17353	 1503728502453172
17264	 1503728502470436
17272	 1503728502487708
17222	 1503728502504930
17374	 1503728502522304
17295	 1503728502539599
17234	 1503728502556833
17252	 1503728502574085
17295	 1503728502591380
17393	 1503728502608773
17189	 1503728502625962
17342	 1503728502643304
17260	 1503728502660564
17215	 1503728502677779
17251	 1503728502695030
17287	 1503728502712317
17317	 1503728502729634
17213	 1503728502746847
17332	 1503728502764179
17270	 1503728502781449
17406	 1503728502798855
17275	 1503728502816130
17068	 1503728502833198
17096	 1503728502850294
17194	 1503728502867488
17078	 1503728502884566
17080	 1503728502901646
17013	 1503728502918659
17124	 1503728502935783
17077	 1503728502952860
17150	 1503728502970010
17073	 1503728502987083
17029	 1503728503004112
16985	 1503728503021097
17138	 1503728503038235
17063	 1503728503055298
17132	 1503728503072430
16965	 1503728503089395
17043	 1503728503106438
17208	 1503728503123646
17110	 1503728503140756
17138	 1503728503157894
17001	 1503728503174895
