# /lscratch1/kbferre/app-traces/mutrino/milc/128/rank-000.txt
 delta	 tstmp
316	 1504215489298767
310	 1504215489299077
328	 1504215489299405
321	 1504215489299726
322	 1504215489300048
307	 1504215489300355
325	 1504215489300680
317	 1504215489300997
318	 1504215489301315
318	 1504215489301633
323	 1504215489301956
334	 1504215489302290
329	 1504215489302619
339	 1504215489302958
375	 1504215489303333
324	 1504215489303657
314	 1504215489303971
319	 1504215489304290
325	 1504215489304615
323	 1504215489304938
311	 1504215489305249
310	 1504215489305559
325	 1504215489305884
631	 1504215489306515
298	 1504215489306813
61	 1504215489306874
337	 1504215489307211
330	 1504215489307541
331	 1504215489307872
308	 1504215489308180
335	 1504215489308515
587	 1504215489309102
344	 1504215489309446
56	 1504215489309502
324	 1504215489309826
331	 1504215489310157
334	 1504215489310491
320	 1504215489310811
328	 1504215489311139
596	 1504215489311735
313	 1504215489312048
73	 1504215489312121
333	 1504215489312454
331	 1504215489312785
324	 1504215489313109
312	 1504215489313421
332	 1504215489313753
587	 1504215489314340
331	 1504215489314671
44	 1504215489314715
338	 1504215489315053
342	 1504215489315395
315	 1504215489315710
312	 1504215489316022
324	 1504215489316346
578	 1504215489316924
339	 1504215489317263
72	 1504215489317335
326	 1504215489317661
323	 1504215489317984
312	 1504215489318296
349	 1504215489318645
326	 1504215489318971
578	 1504215489319549
313	 1504215489319862
56	 1504215489319918
329	 1504215489320247
330	 1504215489320577
312	 1504215489320889
313	 1504215489321202
329	 1504215489321531
694	 1504215489322225
467	 1504215489322692
56	 1504215489322748
339	 1504215489323087
361	 1504215489323448
317	 1504215489323765
308	 1504215489324073
325	 1504215489324398
579	 1504215489324977
318	 1504215489325295
97	 1504215489325392
2649	 1504215489328041
3037	 1504215489331078
315	 1504215489331393
2921	 1504215489334314
331	 1504215489334645
319	 1504215489334964
344	 1504215489335308
322	 1504215489335630
346	 1504215489335976
330	 1504215489336306
330	 1504215489336636
313	 1504215489336949
343	 1504215489337292
360	 1504215489337652
628	 1504215489338280
832	 1504215489339112
518	 1504215489339630
335	 1504215489339965
321	 1504215489340286
308	 1504215489340594
324	 1504215489340918
321	 1504215489341239
322	 1504215489341561
317	 1504215489341878
337	 1504215489342215
334	 1504215489342549
316	 1504215489342865
314	 1504215489343179
325	 1504215489343504
319	 1504215489343823
317	 1504215489344140
319	 1504215489344459
326	 1504215489344785
337	 1504215489345122
316	 1504215489345438
313	 1504215489345751
322	 1504215489346073
3056	 1504215489349129
312	 1504215489349441
2981	 1504215489352422
331	 1504215489352753
324	 1504215489353077
3121	 1504215489356198
311	 1504215489356509
333	 1504215489356842
2823	 1504215489359665
3026	 1504215489362691
320	 1504215489363011
353	 1504215489363364
2835	 1504215489366199
2877	 1504215489369076
357	 1504215489369433
379	 1504215489369812
343	 1504215489370155
3027	 1504215489373182
326	 1504215489373508
3153	 1504215489376661
326	 1504215489376987
3024	 1504215489380011
310	 1504215489380321
322	 1504215489380643
322	 1504215489380965
2928	 1504215489383893
3022	 1504215489386915
3187	 1504215489390102
346	 1504215489390448
2990	 1504215489393438
315	 1504215489393753
3161	 1504215489396914
346	 1504215489397260
353	 1504215489397613
323	 1504215489397936
369	 1504215489398305
337	 1504215489398642
348	 1504215489398990
317	 1504215489399307
371	 1504215489399678
329	 1504215489400007
319	 1504215489400326
318	 1504215489400644
338	 1504215489400982
332	 1504215489401314
316	 1504215489401630
2869	 1504215489404499
2815	 1504215489407314
2805	 1504215489410119
346	 1504215489410465
309	 1504215489410774
337	 1504215489411111
3587	 1504215489414698
329	 1504215489415027
319	 1504215489415346
367	 1504215489415713
321	 1504215489416034
348	 1504215489416382
331	 1504215489416713
351	 1504215489417064
332	 1504215489417396
319	 1504215489417715
317	 1504215489418032
333	 1504215489418365
318	 1504215489418683
321	 1504215489419004
3052	 1504215489422056
353	 1504215489422409
3158	 1504215489425567
